"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510390863.36171","1568831168.83117","1434345506.77062","1328486401.82258","1391840132.2857","1724545403.17187","1783081344.7976","1881082348.14513","2104878097.12587","1998198332.89725","2159393245.18188","2303914531.76233","2444524287.08468","2722752388.68635","3437836535.7578","4367991087.35688","5444343626.24399","7802810227.22522","9876359204.5479","8373894148.17582","9102915079.33003","10133530952.5427","10278417926.9422","10979508121.6828","11334720299.4423","9606433610.09612","9465980642.18851","10645440262.647","11372553639.5425","13075067473.8904","11558005590.4913","",
"American Samoa","ASM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","528000000","553000000","584000000","591000000","599000000","604000000","648000000","673000000","704000000","748000000","749000000","759000000","806000000","831000000","783000000","784000000","821000000","821000000","863000000","",
"Antigua and Barbuda","ATG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374592592.592593","446444444.444444","474370370.37037","538370370.37037","539111111.111111","550703703.703704","601037037.037037","622222222.222222","677925925.925926","680962962.962963","729111111.111111","761703703.703704","884370370.37037","1008370370.37037","1172296296.2963","1182518518.51852","906148148.148148","984592592.592592","1009703703.7037","1104740740.74074","1087851851.85185","1115158037.03704","1107565814.81481","1141769481.48148","1105458481.48148","1099228000","1082385888.88889","1088446037.03704","",
"Australia","AUS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","12805465337.6638","13654384589.5397","14162840183.6712","15097995296.2258","16370254227.7971","17904580580.1322","19280994512.2634","20959793929.8914","23047373726.0611","25025198790.4581","27841863590.5477","30954194198.6785","35969626168.2243","44144778987.8283","60565954310.9801","70850744230.5066","77554519097.4411","81994723560.4496","89843221294.8342","100039759173.009","109898607242.34","130846394984.326","143510978704.623","138047730463.266","145707299402.282","134105238935.338","137587437045.327","143651402858.655","173517898719.441","215588307141.112","225513659099.654","245826073306.648","253921402753.211","240982293423.271","245619508820.477","279440154440.154","303418057663.126","325845202692.127","300416468832.666","296725153528.011","315291716385.103","289949017924.225","298713897028.045","355822947000.582","464301465357.803","522907081641.858","555557053009.883","632839758184.816","779981199641.898","671287733765.278","850492380868.493","1013407275953.86","1120258816250.77","1157331486611.26","1079253649132.47","1015654380564.11","927512738389.868","1000313749151.52","1072642430819.32","1033083965097.98","979981230727.98","",
"Austria","AUT","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","10651480285.7899","12422926533.7592","15172431097.0891","20296424204.0902","24362060512.3675","29410477206.289","31918580194.8301","38658675380.9008","45784318203.3545","54189755018.0134","60713814082.1102","53576120615.1719","54166552391.7077","55688392829.784","51780268894.8491","52919495211.4924","74951989184.3173","93792272529.3862","99719460604.0343","98675790951.6381","122942460365.485","127819047731.291","145479171049.336","143401786348.042","152935339115.769","179641367544.698","178113244086.301","158237535235.089","161200500222.321","159632316095.869","144191934343.561","144353877258.315","155176014372.263","191625029357.211","219320365975.958","231240464748.078","243714067060.87","275389777665.13","307177722012.266","297967494315.574","290261859359.834","316322986548.542","300175481415.305","316529389478.926","323968971793.199","276717174876.016","284658344023.133","300421345682.671","324284286286.423","316061249547.686","309018884306.009","",
"Azerbaijan","AZE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364000000","1504560000","1206264968.15287","2348249688.45587","3166802278.27502","3450257182.28579","4231196691.65159","4186893203.8835","4195127402.77157","4288950928.80919","4695947335.93911","5264840647.5919","5964485600.89549","6959699598.05373","9577233042.31027","14232024239.5991","20484177215.1899","23864269718.8355","26583727884.3758","31251994428.2639","34839867617.1079","38703632887.1893","42380211653.7039","36673531134.1011","27090618537.319","28167731815.0128","30438294117.6471","33062058823.5294","32589705882.3529","",
"Burundi","BDI","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","185499996","192499998","204750008","234499994","241499996","153302518.518519","157914285.714286","168016000","173822857.142857","179073142.857143","233997714.285714","248109714.285714","247196571.428571","295224052.18304","351230476.190476","434231111.111111","420781449.275362","484565555.555556","576552222.222222","732755555.555556","925216666.666667","929201111.111111","1035898888.88889","1005771920.38731","924731434.299557","1102818748.03215","1189088039.76526","1056578768.20978","1064298996.40301","1077552518.79723","1192841084.93183","1216172324.84726","1192310456.40245","997193202.635914","1028965790.79644","1080347659.33424","884009691.494632","958376614.162055","935500210.154505","828305770.459224","932592161.599623","930606970.915879","894344321.112497","837576963.385121","982286417.509152","1167383132.70657","1391633734.60994","1492003057.29978","1818006094.00022","1846035358.10067","2091872318.65362","2438257395.50588","2519406302.47813","2789460589.69676","3014243285.34021","3037202852.11836","2761154513.08088","2786136458.93842","2778569957.08847","2767506084.27587","3000821090.82857","",
"Belgium","BEL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","18152097620.0081","20689251706.2742","25989861607.552","33667450838.3358","39369751449.8757","48424846989.1412","52419752351.0972","62233075970.7372","76598679390.2908","89710228398.459","98382243068.0094","84167500000","74446120430.867","70636818145.9566","66551468165.317","69106889054.963","94937381253.3863","117436121015.667","123257436094.35","122619349918.1","152792475857.074","159255483756.645","176330316185.696","168441403917.91","182235987460.815","214173097974.822","209951791530.945","186537550744.249","191341409202.045","189435795261.931","173692913466.04","174527116576.654","190364509891.02","234356298599.921","267454671238.688","278803615855.564","293893873147.411","335586490602.276","379669347084.844","365169799088.242","361887772226.667","395596188398.833","378302298546.445","400599580109.609","407137531513.842","346539153936.914","354921841713.62","374582847601.412","406763601825.176","398147378469.019","388435996778.522","",
"Benin","BEN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","213906329.69419","222187328.065185","227419484.772088","246771978.528784","264125062.442047","286605624.561078","304655655.116608","307083356.199103","317731952.091716","320799630.790204","325928846.311782","334272715.91555","406442394.801204","490315140.437491","537719935.672216","674045197.932556","708081743.708425","756432224.55905","947013930.945302","1191963465.86336","1494471312.42202","1450594198.6851","1200723742.05851","1100736544.58808","1036126195.79926","1088126870.89745","1369172271.39359","1605474296.64141","1663119884.2229","1494668294.524","1828593079.60486","1884368723.70013","1638375444.9581","2147066590.36186","1437376833.08517","1901515300.05906","2029828328.04616","1946531713.50083","2142131843.1438","3315010760.49928","3172537350.88875","3327730669.27982","3753160650.68388","4769604354.32199","5426222865.22117","5913687232.29445","6385944941.25096","7241960988.32991","8784834749.77579","8762912071.69822","8551169824.1067","9522954867.34603","9767290380.12066","10664852991.1747","11045953244.0331","9860273401.2199","9870745399.63848","10555708290.1638","11532613719.1646","11339278596.5787","12435849105.2597","",
"Burkina Faso","BFA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","315786758.381387","331867484.356404","358721158.26898","371707393.464274","378682699.308485","386076149.642803","398975005.535692","425164842.892851","432533789.348805","450435115.9368","428139408.349617","444753337.582371","520904996.516254","594598509.932289","618140526.13015","857887305.897125","856232356.492244","1073247407.9055","1387619177.69489","1691370478.59738","1917941905.41822","1781258671.15149","1706996189.36095","1542516456.46686","1394853465.34336","1523792850.95812","2033126935.75247","2310580747.90225","2546542361.84741","2471390911.77251","2933081943.75476","2873442639.29737","3067299404.06163","2951975312.06452","1585596573.84024","2106849520.904","2382429900.82736","2163729063.06207","2556640929.14031","3431946846.27262","3053348723.05015","3191140166.33313","3627063124.64575","4573328765.57129","5353540215.95258","5957345098.15301","6355437316.81602","7231591289.95723","8917874462.78027","8763443540.77688","8699439014.75825","10024561186.6009","10474561510.6502","11585218524.5746","11948789738.6023","10349257296.498","10942456500.5798","11892471059.0612","13140878554.4602","13140485661.9862","","",
"Bangladesh","BGD","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","3950698947.20869","4489417884.13917","4475248176.36879","4884175826.7891","4961540719.54879","5447549471.0734","6011489782.00185","6715423337.36849","6669514464.19242","7709545047.87287","8349716501.60606","8419996582.14722","6499539250","7812086852.58964","12421446497.6149","19265059553.8531","10418476781.1448","9054464725.27472","13066123055.5556","15329624763.4691","17766087086.5633","17244859241.1261","15787175648.7026","15487373737.3737","17638560000","19044846153.8462","18461933333.3333","20872387096.7742","22916762260.1539","24382929507.9723","26572217612.567","26445994397.7591","27312625994.695","29087275132.2751","29343665835.4115","32959477611.9403","38813105134.4743","39975222482.4356","40669581497.7974","41668760399.3344","42685807990.4592","42852075611.5641","43320163677.5205","48015474956.8221","51313402412.0944","54821235772.3577","56423504484.8124","63094504216.6232","74047774694.6509","81641583084.311","91289473949.6381","102110115363.168","105052641755.659","116938413682.408","134695157648.24","151852227932.064","166110657512.928","186461015038.402","211462727677.886","226857580460.126","246253064776.913","",
"Bulgaria","BGR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","13695692307.6923","12596857142.8571","12534400000","11001222222.2222","11421166666.6667","11701631578.9474","13680411764.7059","19370923076.9231","14867294117.6471","15090388888.8889","16097272727.2727","8004354838.70968","8896391752.57732","10000797101.4493","8846439114.39114","13830267857.1429","10778268690.2754","8779392353.88549","11190939559.1911","11546660499.5375","11426100880.7046","12476891564.0591","14343630235.9172","18629961332.0252","22944990159.355","25961009465.7264","29234997755.4031","37836268019.5941","45073013237.6038","41471433852.2784","40887934885.6099","45272642019.1966","44200796320.6307","44402709690.5537","45424922669.9227","39664541487.1911","41079737556.5611","44921447421.4924","50599224502.1123","52219866628.506","54647307580.2599","",
